time,Fb(y),Ff(y)
0,0.3761260043,0.3734755905
1,0.4740256286,0.3850483502
2,0.4633427242,0.4188116593
3,0.5326650594,0.4378578998
4,0.5058478163,0.4779943329
5,0.5193195379,0.4939235499
6,0.7556876992,0.4415479422
7,0.7180249881,0.4618588337
8,0.5666701406,0.5134144413
9,0.6760314862,0.4748018859
10,0.8860532447,0.4325108202
11,0.6295630518,0.5397795568
12,-0.3371582709,5.1052294769
13,-0.0821531250,2.8353258048
14,4.3545383030,0.1045702289
15,1.7574125242,0.2350201568
16,1.5758806424,0.2518596658
17,1.4708741326,0.2629405885
18,1.7397494050,0.2467182675
19,1.4995044970,0.2490983552
20,1.1687594894,0.2701845185
21,1.0092363118,0.2769145985
22,1.1265506658,0.2802163150
23,1.1828468334,0.2639801369
24,0.9641858565,0.3066894674
25,0.9174591382,0.3338775370
26,1.0809815894,0.3403905932
27,1.3527107285,-0.4878996211
