b,Average_Uy,Efficiency(%)
0.5,0.0525089132,0.0278472411
1.0,0.0528740508,0.0531197568
1.5,0.051516321,0.0723561572
2.0,0.0494643457,0.0860034349
2.5,0.047184819,0.0952834923
3.0,0.0448899387,0.1013184156
3.5,0.0426792004,0.1050025849
4.0,0.0405948257,0.1069953506
4.5,0.0386512757,0.1077761936
5.0,0.0368491533,0.1076914322
5.5,0.0351823439,0.1069912066
6.0,0.0336417457,0.1058567228
6.5,0.0322172272,0.1044197826
7.0,0.0308986415,0.1027766491
7.5,0.029676332,0.1009978795
8.0,0.0285413589,0.0991353206
